Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
Department of the Prime Minister and Cabinet,,CN1117752,2013-01-02, ,published,2012-11-12,2012-11-14,10714.36,Transport - official visit,PCON_GEN-CA000383-0,Passenger transport,Limited tender,CA000383,,No,,No,,No,,,COMCAR,COMCAR LOCKED BAG NO. 3,FYSHWICK,2609,Australia,No,61970632495,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117762,2013-01-02, ,published,2012-12-12,2012-12-12,11506.00,Official hospitality,PCON_GEN-CA000387-0,Entertainment services,Limited tender,CA000387,,No,,No,,No,,,FLORIST AT PARLIAMENT HOUSE,PARLIAMENT HOUSE OF AUSTRALIA,CANBERRA,2600,Australia,No,94327938726,Contracts and Procurement,Corporate Services,2600
Department of the Prime Minister and Cabinet,,CN1117772,2013-01-02, ,published,2012-11-14,2013-06-30,15500.00,Education and Training Services,PCON_GEN-CD001911-0,Education and Training Services,Limited tender,CD001911,,No,,No,,No,,,INTERACTION CONSULTING GROUP,PO BOX 6124,PHILLIP,2606,Australia,No,82064623543,Contracts and Procurement,Corporate Services,2600
Department of Defence,,CN1115932,2013-01-02, ,published,2012-12-17,2013-01-28,17368.56,Installation of Strain Gauges,4500878742,Professional engineering services,Open tender,,SON38576,No,,No,,No,,,FORTBURN PTY LTD,PO Box 5040,GARDEN CITY,3207,AUSTRALIA,No,30063304192,DSTO Platforms & Human Systems,Australian Capital Territory,3207
Department of Defence,,CN1115942,2013-01-02, ,published,2012-12-17,2013-05-31,142125.50,Project Management and Integrated Logistic Support,4500878739,Project management,Open tender,RFQTS8673,,Yes,Other - NAVY GUIDED WEAPON SYSTEM PROJECT,No,,No,,,QINETIQ PTY LTD,BRINDABELLA BUSINESS PARK,MAJURA,2609,AUSTRALIA,No,68125805647,Navy Strategic Command,Australian Capital Territory,2600
Department of Defence,,CN1115952,2013-01-02, ,published,2012-12-17,2013-05-31,180250.40,Project Management and Integrated Logistic Support,4500878722,Project management,Open tender,RFQTS8674,SON48590,Yes,Other - NAVY GUIDED WEAPON SYSTEM PROJECT,No,,No,,,KPMG AUSTRALIA,PO Box 7396,CANBERRA,2609,AUSTRALIA,No,51194660183,Navy Strategic Command,Australian Capital Territory,2600
Department of Defence,,CN1115982,2013-01-02, ,published,2012-12-17,2013-06-30,150289.70,Stormwater System Appraisal,4500878708,Building construction and support and maintenance and repair services,Open tender,,,No,,No,,No,,,DEFENCE MAINTENANCE MANAGEMENT,PO Box 1510,SYDNEY,2001,AUSTRALIA,No,81089482093,DSG Defence Support Operations Division,Australian Capital Territory,2170
Department of Defence,,CN1116022,2013-01-02, ,published,2012-11-29,2012-12-13,30922.10,Landing Fes,1900008672,Air transportation support systems and equipment,Open tender,,,No,,No,,No,,,ROCKHAMPTON REGIONAL COUNCIL,PO Box 1860,ROCKHAMPTON,4700,AUSTRALIA,No,59923523766,DSG Defence Support Operations Division,Australian Capital Territory,4051
Department of Defence,,CN1116082,2013-01-02, ,published,2012-11-29,2012-12-21,47517.10,Mandatory ICT training for personnel.,1907960808,Information technology consultation services,Open tender,,,No,,No,,No,,,BOX HILL INSTITUTE OF TAFE,PO Box PB 2014,BOX HILL,3128,AUSTRALIA,No,76268630462,Air Force Air Command,Australian Capital Territory,2755
Department of Defence,,CN1116092,2013-01-02, ,published,2012-12-03,2014-06-14,22858.63,Port Services SON431245,1907960719,Utilities,Open tender,,,No,,No,,No,,,THE TRUSTEE FOR THE RAECORP DISCRET,PO Box 579,MORNINGSIDE,4170,AUSTRALIA,No,41080615081,Navy Fleet Command,Australian Capital Territory,2011
Department of Defence,,CN1116112,2013-01-02, ,published,2012-11-28,2012-12-31,21367.50,Software Enhancement,1907960486,Software,Open tender,,,No,,No,,No,,,FAST TRACK PTY LTD,PO Box 7707 GCMC,BUNDALL,9726,AUSTRALIA,No,90096536855,Air Force Air Command,Australian Capital Territory,2755
Department of Defence,,CN1116142,2013-01-02, ,published,2012-11-16,2012-12-21,77386.26,Mandatory ICT Training,1907959502,Information technology consultation services,Open tender,,,No,,No,,No,,,BOX HILL INSTITUTE OF TAFE,PO Box PB 2014,BOX HILL,3128,AUSTRALIA,No,76268630462,Air Force Air Command,Australian Capital Territory,2755
Department of Defence,,CN1116152,2013-01-02, ,published,2012-11-13,2012-12-21,13346.17,Mandatory ICT training.,1907959355,Information technology consultation services,Open tender,,,No,,No,,Yes,Need for specialised or professional skills,,BOX HILL INSTITUTE OF TAFE,PO Box PB 2014,BOX HILL,3128,AUSTRALIA,No,76268630462,Air Force Air Command,Australian Capital Territory,2756
Department of Defence,,CN1116172,2013-01-02, ,published,2012-12-04,2012-12-22,10800.00,Provision of Results Through People Workshops,1907958547,Education and Training Services,Open tender,,,No,,No,,No,,,ROSS BEGBIE AND ASSOCIATES PTY LTD,21 PACKER ST,WEETANGERA,2614,AUSTRALIA,No,36008619574,OSCDF International Policy,Australian Capital Territory,2600
Department of Defence,,CN1116222,2013-01-02, ,published,2012-12-17,2012-12-31,15772.79,Newspaper Advertising Costs,4500878869,Newspaper advertising,Open tender,,SON182272,No,,No,,No,,,ADCORP AUSTRALIA LIMITED,PO Box 601,BROADWAY,2007,AUSTRALIA,No,72002208915,OSCDF Strategic Policy,Australian Capital Territory,2600
Department of Defence,,CN1116282,2013-01-02, ,published,2012-12-17,2015-12-01,25300.00,Gymnasium Equipment,4500878834,Sports equipment and accessories,Open tender,,SON463909,No,,No,,No,,,LIFE FITNESS AUSTRALIA PTY LTD,50 DUNLOP RD,MULGRAVE,3170,AUSTRALIA,No,98079300815,DSG Defence Support Operations Division,Australian Capital Territory,830
Department of Defence,,CN1116302,2013-01-02, ,published,2012-12-17,2013-06-30,67717.10,Investigate Sewer treatment plant,4500878814,Building construction and support and maintenance and repair services,Open tender,,,No,,No,,No,,,DEFENCE MAINTENANCE MANAGEMENT,PO Box 1510,SYDNEY,2001,AUSTRALIA,No,81089482093,DSG Defence Support Operations Division,Australian Capital Territory,2170
Department of Defence,,CN1116382,2013-01-02, ,published,2012-12-17,2013-05-31,145346.59,ICT Site Integration Services,4500878784,Management support services,Open tender,,SON379715,No,,No,,No,,,CDM,LVL 1 / BLDG 1 - 169 GLADSTONE,FYSHWICK,2609,AUSTRALIA,No,15053788720,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1116442,2013-01-02, ,published,2012-12-17,2013-05-14,88000.00,Project and Engineering Services,4500878769,Professional engineering services,Open tender,2008/1153811,SON194441,No,,No,,No,,,INNOVATION SCIENCE PTY LTD,PO Box 333,MITCHAM,5062,AUSTRALIA,No,82087945597,DSTO Platforms & Human Systems,Australian Capital Territory,5111
Department of Defence,,CN1116482,2013-01-02, ,published,2012-12-21,2013-12-14,146084.40,Curriculum Development and Publication Officer,4500879468,Business administration services,Open tender,ADC 004A,,No,,No,,No,,,R J NETWORKING PTY LTD,PO Box 6026,CONDER,2906,AUSTRALIA,No,81112850549,VCDF Australian Defence College,Australian Capital Territory,2611
Department of Defence,,CN1116552,2013-01-02, ,published,2012-12-21,2013-06-30,10218.12,Software,4500879453,Software,Open tender,,SON470578,No,,No,,No,,,DATA 3 LIMITED,PO Box 551,INDOOROOPILLY QLD,4068,AUSTRALIA,No,31010545267,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1116602,2013-01-02, ,published,2012-12-20,2013-01-31,42135.50,Mattresses for Cadet Accommodation.,4500879435,Furniture,Open tender,,SON452911,No,,No,,No,,,AUSTRALIAN BEDDING COMPANY PTY LTD,2/78 HOSKINS ST,MITCHELL,2911,AUSTRALIA,No,62075106473,DSG Defence Support Operations Division,Australian Capital Territory,2600
Department of Defence,,CN1116622,2013-01-02, ,published,2012-12-20,2013-06-07,78036.64,Vehicle Component repairs,4500879421,Vehicle maintenance and repair services,Open tender,,,No,,No,,No,,,MTU DETROIT DIESEL AUSTRALIA PTY,PO Box LB 98,MOOREBANK,1875,AUSTRALIA,No,47073690990,VCDF Joint Logistics Command,Australian Capital Territory,4171
Department of Defence,,CN1116682,2013-01-02, ,published,2012-12-20,2013-01-21,15977.71,Copiers and Fax,4500879401,Office machines and their supplies and accessories,Open tender,,,No,,No,,No,,,KONICA MINOLTA BUSINESS SOLUTIONS,PO Box 456,NORTH RYDE,1670,AUSTRALIA,No,50001065096,DSG Office of Chief Executive,Australian Capital Territory,2600
Department of Defence,,CN1116692,2013-01-02, ,published,2012-12-20,2015-01-02,710158.68,Provision of complex policy and project advice,4500879398,Management advisory services,Open tender,,SON167150,No,,No,,No,,,SME GATEWAY,PO Box 893,IPSWICH,4305,AUSTRALIA,No,51106981560,OSCDF Audit and Fraud Control,Australian Capital Territory,2600
Department of Defence,,CN1116732,2013-01-02, ,published,2012-12-20,2012-12-24,34346.40,CABLES,4500879372,Computer accessories,Open tender,,SON335550,No,,No,,No,,,UXC CONNECT,GROUND FLOOR,BRINDABELLA BUSINESS PARK,2609,AUSTRALIA,No,69001002731,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1116742,2013-01-02, ,published,2012-12-20,2012-12-24,34346.40,CABLES,4500879369,Computer accessories,Open tender,,SON335550,No,,No,,No,,,UXC CONNECT,GROUND FLOOR,BRINDABELLA BUSINESS PARK,2609,AUSTRALIA,No,69001002731,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1116752,2013-01-02, ,published,2012-12-21,2012-12-26,29279.82,Purchase of Gymnasium Equipment,4500879515,Fitness equipment,Open tender,,,No,,No,,No,,,LIFE FITNESS AUSTRALIA PTY LTD,50 DUNLOP RD,MULGRAVE,3170,AUSTRALIA,No,98079300815,Air Force Air Command,Australian Capital Territory,6084
Department of Defence,,CN1116772,2013-01-02, ,published,2012-12-21,2013-12-01,223380.00,Third Party Variation Auditor,4500879513,Audit services,Open tender,,SON389491,No,,No,,Yes,Need for specialised or professional skills,,AECOM AUSTRALIA PTY LTD,PO Box 73,HUNTER REGION MC,2310,AUSTRALIA,No,20093846925,PSPG HPP/DBAM,Australian Capital Territory,2609
Department of Defence,,CN1116792,2013-01-02, ,published,2012-12-21,2013-04-30,11594.00,Cabling Services,4500879509,Computer support parts or accessories,Open tender,CIOG083-08,,No,,No,,No,,,INTERACTIVE CABLING PTY LTD,PO Box 7184,BAULKHAM HILLS,2153,AUSTRALIA,No,29067944343,CIOG ICTOD,Australian Capital Territory,2170
Department of Defence,,CN1116812,2013-01-02, ,published,2012-12-21,2013-03-08,28336.00,Review of non-deployable asset management function,4500879506,Business administration services,Open tender,,SON167150,No,,No,,No,,,OAKTON SERVICES PTY LTD,"LVL 8, 271 COLLINS ST",MELBOURNE,3000,AUSTRALIA,No,50007028711,DSG Defence Support Operations Division,Australian Capital Territory,2609
Department of Defence,,CN1116832,2013-01-02, ,published,2012-12-21,2013-05-31,11225.50,Blast Analysis Support,4500879504,Professional engineering services,Open tender,,SON194441,Yes,Costing/profit information,Yes,Other - TRADE SECRETS,No,,,THE TRUSTEE FOR THE SELLAR FAMILY,INNOVATION HOUSE MAWSON LAKES,MAWSON LAKES,5095,AUSTRALIA,No,88969936238,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117082,2013-01-02, ,published,2012-12-19,2013-02-28,137390.00,Business case review,4500879250,Management advisory services,Open tender,,,No,,No,,No,,,NOUS GROUP,PO Box 13069,MELBOURNE LAW COURTS,8010,AUSTRALIA,No,66086210344,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1117102,2013-01-02, ,published,2012-12-19,2013-10-31,36313.20,Servers,4500879232,Computer Equipment and Accessories,Open tender,,,No,,No,,No,,,IBM AUSTRALIA LTD,PO Box 400,PENNANT HILLS,1715,AUSTRALIA,No,79000024733,DSTO Platforms & Human Systems,Australian Capital Territory,5111
Department of Defence,,CN1117122,2013-01-02, ,published,2012-12-19,2013-11-28,214392.64,Training and ICT Development Services,4500879225,Education and Training Services,Open tender,,SON155495,No,,No,,No,,,PEOPLEBANK,PO Box GPO 3106,CANBERRA,2601,AUSTRALIA,No,42003995748,VCDF Australian Defence College,Australian Capital Territory,2609
Department of Defence,,CN1117232,2013-01-02, ,published,2012-12-19,2013-06-30,110000.00,"Analyst for Rapid Prototyping, Development and Evaluation",4500879182,Business intelligence consulting services,Open tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA LTD,PO Box 1068,SALISBURY,5108,AUSTRALIA,No,29008423005,CDG,Australian Capital Territory,2609
Department of Defence,,CN1117292,2013-01-02, ,published,2012-12-19,2013-03-31,68200.00,Engagement of Desk Officer for Systems Management,4500879169,Management advisory services,Open tender,,SON48590,No,,No,,No,,,JACOBS AUSTRALIA,PO Box 1976,CANBERRA,2601,AUSTRALIA,No,12079749287,VCDF Joint Logistics Command,Australian Capital Territory,2600
Department of Defence,,CN1117332,2013-01-02, ,published,2012-12-20,2013-06-30,1599600.20,Construction Services,4500879361,Building construction and support and maintenance and repair services,Open tender,RFT NPMO 01/0388,,No,,No,,No,,,COCKRAM CONSTRUCTION,PO Box 274,HAWTHORN,3122,AUSTRALIA,No,99004799508,DSG Defence Support Operations Division,Australian Capital Territory,2314
Department of Defence,,CN1117402,2013-01-02, ,published,2012-12-20,2013-03-25,91986.05,IT printer hardware,4500879326,Computer printers,Open tender,,SON478633,No,,No,,No,,,RICOH AUSTRALIA PTY LTD,40-44 GLEN OSMOND RD,PARKSIDE,5063,AUSTRALIA,No,30000593171,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117412,2013-01-02, ,published,2012-12-20,2013-06-30,87560.00,Cost of Turnover Model,4500879325,Human resources services,Open tender,,,No,,No,,No,,,KPMG AUSTRALIA,PO Box 7396,CANBERRA,2609,AUSTRALIA,No,51194660183,PSPG HPP/DBAM,Australian Capital Territory,2609
Department of Defence,,CN1117432,2013-01-02, ,published,2012-12-20,2013-02-28,56760.00,Software enhancement for modelling and simulation,4500879321,Software or hardware engineering,Open tender,,SON238172,No,,No,,No,,,DARONMONT TECHNOLOGIES PTY LTD,15 PARKWAY,MAWSON LAKES,5095,AUSTRALIA,No,73007030855,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117512,2013-01-02, ,published,2012-12-20,2013-02-14,118489.13,IT storage hardware,4500879295,Computer servers,Open tender,,,No,,No,,No,,,IOCANE PTY LTD,763 SOUTH ROAD,BLACK FOREST,5035,AUSTRALIA,No,42087252355,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1117522,2013-01-02, ,published,2012-12-20,2013-04-30,56696.75,Software Development,4500879294,Software,Open tender,,SON433899,No,,No,,No,,,CSC AUSTRALIA PTY LTD,PO Box 148,NORTH RYDE,1670,AUSTRALIA,No,18008476944,VCDF Joint Capability Coordination Division,Australian Capital Territory,2601
Department of Defence,,CN1117532,2013-01-02, ,published,2012-12-20,2013-03-29,32626.00,Purchase of 8 Bay Bain Marie for HMAS Harman,4500879292,Commercial and industrial furniture,Open tender,,,No,,No,,No,,,AC&R CATERING EQUIPMENT &,PO Box 633,FYSHWICK,2609,AUSTRALIA,No,70869008483,DSG Defence Support Operations Division,Australian Capital Territory,2600
Department of Defence,,CN1117552,2013-01-02, ,published,2012-12-20,2013-02-20,183678.00,Task Definition Studies,4500879290,Software or hardware engineering,Open tender,,SON253476,Yes,Statutory secrecy provisions,Yes,Statutory secrecy provisions,No,,,HEWLETT-PACKARD AUSTRALIA PTY LTD,7-11 BARRY DR,TURNER,2612,AUSTRALIA,No,74004394763,Intelligence & Security,Australian Capital Territory,2600
Department of Defence,,CN1117582,2013-01-02, ,published,2012-12-20,2013-01-07,25344.00,Domestic Fans for Cadet Accommodation,4500879285,Domestic appliances,Open tender,,SON452911,No,,No,,No,,,AUSTRALIAN BEDDING COMPANY PTY LTD,2/78 HOSKINS ST,MITCHELL,2911,AUSTRALIA,No,62075106473,DSG Defence Support Operations Division,Australian Capital Territory,2612
Australian Transaction Reports and Analysis Centre (AUSTRAC),CN350771,CN350771-A1,2010-12-06,2013-01-02,published,2010-11-08,2013-11-06,210000.00, Provision of Audit Services. ,D104/10,Audit services,Open tender,,,No,,No,,Yes,Need for independent research or assessment,Variation to contract value and end date,Ernst and Young,,Sydney,2000,AUSTRALIA,No,75288172749,,,2067
Department of the Prime Minister and Cabinet,,CN1117692,2013-01-02, ,published,2012-12-10,2013-03-31,77088.00,ICT Contractor Services,PCON_GEN-CD001932-0,Computer services,Open tender,CD001932,,No,,No,,No,,,CLICKS RECRUIT PTY LTD,LEVEL 1 15 LONDON CIRCUIT,CANBERRA CITY,2601,Australia,No,51094789910,Contracts and Procurement,Corporate Services,2600
Department of Defence,,CN1115922,2013-01-02, ,published,2012-12-17,2013-03-31,12480.60,Physcial trianing clothing cadets and staff,4500878750,Clothing,Prequalified tender,,,No,,No,,No,,,ONE SPORTSWEAR PTY LTD,PO Box 43,FYSHWICK,2609,AUSTRALIA,No,22052528364,Army Forces Command,Australian Capital Territory,2600
Department of Defence,,CN1116052,2013-01-02, ,published,2012-11-14,2012-12-20,13055.90,Seating,1907961496,Live animals,Prequalified tender,,,No,,No,,No,,,PRO-STAGE NSW,1 1 COGGINS PLACE,MASCOT,2020,AUSTRALIA,No,26131377832,DMO,Australian Capital Territory,2600
Department of Defence,,CN1116062,2013-01-02, ,published,2012-12-04,2013-06-30,10914.75,Provision of technical service in support of emerg,1907961492,Management information systems MIS,Prequalified tender,,,No,,No,,No,,,KITBAG CONSULTING PTY LTD,36 DIRRAWAN GARDENS,REID,2612,AUSTRALIA,No,83137685628,DMO,Australian Capital Territory,2600
Department of Defence,,CN1116122,2013-01-02, ,published,2012-10-26,2012-12-31,39712.75,Initial drafting of scoping doucment for project S,1907960095,Management advisory services,Prequalified tender,,,No,,No,,No,,,ANDREW CRAWSHAW CONSULTANCY,202/1 POWLETT ST,EAST MELBOURNE,3002,AUSTRALIA,No,84159871922,VCDF Cadet Reserve and Employer Support Division,Australian Capital Territory,2609
Department of Defence,,CN1116132,2013-01-02, ,published,2012-11-19,2012-12-18,13736.25,Initial drafting of scoping document for project s,1907959729,Management advisory services,Prequalified tender,,,No,,No,,No,,,DIANE BATES,4/105 BEACH ST,PORT MELBOURNE,3207,AUSTRALIA,No,88150515138,VCDF Cadet Reserve and Employer Support Division,Australian Capital Territory,2609
Department of Defence,,CN1116232,2013-01-02, ,published,2012-12-17,2013-01-30,27214.00,Scanners A4 Doc Feed,4500878864,Computer Equipment and Accessories,Prequalified tender,,,No,,No,,No,,,DATAFLEX PTY LTD,PO Box 6249,KINGSTON,2604,AUSTRALIA,No,95008623489,CIOG ICTOD,Australian Capital Territory,2600
Department of Defence,,CN1116252,2013-01-02, ,published,2012-12-17,2013-01-30,96593.30,Scanners A4 Doc Feed,4500878855,Computer Equipment and Accessories,Prequalified tender,,,No,,No,,No,,,HEWLETT PACKARD AUSTRALIA LTD,PO Box 384,CONCORD WEST,2138,AUSTRALIA,No,74004394763,CIOG ICTOD,Australian Capital Territory,2630
